timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
87751544,0.027192,-0.059972163,-0.20759723,0.0,0.994121,0.010410152,-0.0312255,-0.10315074,0.0,0.0,-0.04649591,0,0
87792697,-0.0129544325,-0.052885287,-0.21873444,0.0,0.99363834,-0.00932202,-0.025574308,-0.1092791,0.0,0.0,-0.058297854,0,0
87845785,-0.025837205,-0.04804001,-0.22565837,0.0,0.9932371,-0.015536327,-0.022408945,-0.112856366,0.0,0.0,-0.052302085,0,0
87898836,0.026935386,-0.065638326,-0.22008476,0.0,0.99337465,0.009775379,-0.034090023,-0.10931209,0.0,0.0,-0.04750246,0,0
87952005,-0.01113285,-0.13562544,-0.22226445,0.0,0.99148977,-0.013034141,-0.0667258,-0.11102186,0.0,0.0,-0.047583986,0,0
87994075,-0.022664115,-0.10848166,-0.2232144,0.0,0.9921847,-0.017282508,-0.052613243,-0.11181524,0.0,0.0,-0.057429597,0,0
88047039,0.015860273,-0.0711704,-0.21911536,0.0,0.9933749,0.0039876252,-0.036229786,-0.10898556,0.0,0.0,-0.03548296,0,0
88100138,-0.000111352296,-0.06026082,-0.22203484,0.0,0.99339265,-0.003392937,-0.029934227,-0.11074089,0.0,0.0,-0.023639396,0,0
88153027,-0.005984648,-0.05023176,-0.22182578,0.0,0.99352926,-0.0057526575,-0.024627713,-0.1107249,0.0,0.0,-0.04288463,0,0
88195308,-0.0,-0.0,-0.22642125,0.0,0.9935985,-0.0,0.0,-0.112968944,0.0,0.0,-0.12,0,0
88248346,-0.0,-0.0,-0.22617719,0.0,0.9936123,-0.0,0.0,-0.11284769,0.0,0.0,-0.12,0,0
88301657,-0.0,-0.0,-0.21363617,0.0,0.99430037,-0.0,0.0,-0.10661509,0.0,0.0,-0.12,0,0
88343704,-0.0,-0.0,-0.21071397,0.0,0.9944551,-0.0,0.0,-0.10516217,0.0,0.0,-0.12,0,0
88396681,0.053480927,0.0050372337,-0.2186322,0.0,0.99366504,0.026852276,-0.00041430222,-0.1091261,0.0,0.0,-0.13273709,0,0
88449948,0.05983951,0.010426588,-0.22111788,0.0,0.99341905,0.030307187,0.0018784984,-0.110437974,0.0,0.0,-0.12,0,0
88502984,0.04265128,0.02324253,-0.22364104,0.0,0.9934339,0.022485884,0.009166463,-0.11180098,0.0,0.0,-0.12,0,0
88545100,0.04445288,0.009475056,-0.2241391,0.0,0.99345845,0.022614632,0.0022211643,-0.11191086,0.0,0.0,-0.12,0,0
88597924,0.07403358,0.006562439,-0.23344235,0.0,0.99249595,0.037138183,-0.001053177,-0.11649652,0.0,0.0,-0.12,0,0
